ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
6/27/2025,1,Jewelry,LapChain3,lightsilverg,N/A,Gyencha,3 Chain Lap Rack,¥45.00,$6.31,TRUE,3,3,gcLapChain3,gcLapChain3lightsilverg,,¥135.00,$18.93,
6/27/2025,1,Jewelry,LapChain2,silverc,N/A,Gyencha,Single Lap Chain,¥25.00,$3.51,TRUE,20,20,gcLapChain2,gcLapChain2silverc,,¥500.00,$70.13,
6/27/2025,1,Jewelry,Lulong,Hanging,N/A,Gyencha,Big Lulong Pair,¥80.00,$11.22,TRUE,5,5,gcLulong,gcLulongHanging,,¥400.00,$56.10,"* quantity pertains to pairs, reciept refers to individual"
6/27/2025,1,Jewelry,Gyenrak,AllRound,N/A,Gyencha,All-Round Kapshop,¥35.00,$4.91,TRUE,10,10,gcGyenrak,gcGyenrakAllRound,,¥350.00,$49.09,
6/27/2025,1,Jewelry,lodeekapshop,blackaddon,N/A,Gyencha,Lodee Kapshop Add-on Pair,¥26.00,$3.65,TRUE,6,6,gclodeekapshop,gclodeekapshopblackaddon,,¥156.00,$21.88,"* quantity pertains to pairs, reciept refers to individual"
6/27/2025,1,Jewelry,BMecha,Man,N/A,Gyencha,Phosar Mecha,¥120.00,$16.83,TRUE,5,5,gcBMecha,gcBMechaMan,,¥600.00,$84.15,
6/27/2025,1,Jewelry,SPinkap,Small,N/A,Gyencha,Pinkap,¥7.00,$0.98,TRUE,16,16,gcSPinkap,gcSPinkapSmall,,¥112.00,$15.71,
6/27/2025,1,Jewelry,BPinkap,Big,N/A,Gyencha,Pinkap,¥8.00,$1.12,TRUE,6,6,gcBPinkap,gcBPinkapBig,,¥48.00,$6.73,
6/27/2025,1,Jewelry,CoralStack,Black,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.93,TRUE,11,11,gcCoralStack,gcCoralStackBlack,,¥308.00,$43.20,
6/27/2025,1,Jewelry,CoralStack,White,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.93,TRUE,9,9,gcCoralStack,gcCoralStackWhite,,¥252.00,$35.34,
6/27/2025,1,Jewelry,SweetSilv,Coral,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvCoral,,¥96.00,$13.46,*pertain to pairs
6/27/2025,1,Jewelry,SweetSilv,Turqouise,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvTurqouise,,¥96.00,$13.46,*pertain to pairs
6/27/2025,1,Jewelry,roundEarring,Golden Coral,N/A,Gyencha,Golden Coral Button Earring,¥7.00,$0.98,TRUE,15,15,gcroundEarring,gcroundEarringGolden Coral,,¥105.00,$14.73,
6/27/2025,1,Jewelry,stackEarring,Red3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringRed3Stack,,¥15.00,$2.10,
6/27/2025,1,Jewelry,stackEarring,Blue3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringBlue3Stack,,¥15.00,$2.10,
6/27/2025,1,Wonju,PlainWonju,Red,XL,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuRedXL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Brown,XL,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuBrownXL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Maroon,XL,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,7,7,tbPlainWonju,tbPlainWonjuMaroonXL,,¥406.00,$56.94,1 is unpacked
6/27/2025,1,Wonju,PlainWonju,Blue,XL,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuBlueXL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Green,XL,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuGreenXL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Red,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuRedL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Brown,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuBrownL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Maroon,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,9,9,tbPlainWonju,tbPlainWonjuMaroonL,,¥522.00,$73.21,
6/27/2025,1,Wonju,PlainWonju,Blue,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuBlueL,,¥464.00,$65.08,
6/27/2025,1,Wonju,PlainWonju,Green,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuGreenL,,¥464.00,$65.08,
6/27/2025,1,Jewelry,CuffLink,PearlChain,N/A,DeFish,Pearl Cuff Link,¥0.00,$0.00,TRUE,23,23,dfCuffLink,dfCuffLinkPearlChain,,¥0.00,$0.00,
7/10/2025,1,Jewelry,BCharma,BigSilver,N/A,Gyencha,Blue-Lined Charma,¥90.00,$12.62,TRUE,3,3,gcBCharma,gcBCharmaBigSilver,,¥270.00,$37.87,
7/10/2025,1,Jewelry,SCharma,SmallGold,N/A,Gyencha,Blue-Lined Charma,¥85.00,$11.92,TRUE,5,5,gcSCharma,gcSCharmaSmallGold,,¥425.00,$59.61,
7/28/2025,2,Chupa,LhasaGuchen,Black,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,6,6,blLhasaGuchen,blLhasaGuchenBlackXL,,"¥1,260.00",$176.72,
7/28/2025,2,Chupa,LhasaGuchen,Black,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,4,4,blLhasaGuchen,blLhasaGuchenBlackL,,¥840.00,$117.81,
7/28/2025,2,Chupa,LhasaGuchen,Orange,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenOrangeXL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Orange,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,4,4,blLhasaGuchen,blLhasaGuchenOrangeL,,¥840.00,$117.81,
7/28/2025,2,Chupa,LhasaGuchen,Brown,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,2,2,blLhasaGuchen,blLhasaGuchenBrownXL,,¥420.00,$58.91,
7/28/2025,2,Chupa,LhasaGuchen,Brown,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,2,2,blLhasaGuchen,blLhasaGuchenBrownL,,¥420.00,$58.91,
7/28/2025,2,Chupa,LhasaGuchen,Burgundy,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenBurgundyXL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Burgundy,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenBurgundyL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Green,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenGreenXL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Green,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenGreenL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Blue,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenBlueXL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Blue,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.45,TRUE,3,3,blLhasaGuchen,blLhasaGuchenBlueL,,¥630.00,$88.36,
7/28/2025,2,Chupa,LhasaGuchen,Orange,XL,BhodLa,Guchen Utsang Chupa,¥165.00,$23.14,TRUE,1,1,blLhasaGuchen,blLhasaGuchenOrangeXL,,¥165.00,$23.14,
7/30/2025,2,Chupa,Boy-Line,Black,XL,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,4,4,btBoy-Line,btBoy-LineBlackXL,,¥720.00,$100.98,
7/30/2025,2,Chupa,Boy-Line,Brown,XL,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,4,4,btBoy-Line,btBoy-LineBrownXL,,¥720.00,$100.98,
7/30/2025,2,Chupa,Boy-Line,Brown,L,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,4,4,btBoy-Line,btBoy-LineBrownL,,¥720.00,$100.98,
7/30/2025,2,Chupa,Boy-Line,Gray,XL,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,4,4,btBoy-Line,btBoy-LineGrayXL,,¥720.00,$100.98,
7/30/2025,2,Chupa,Boy-Line,Gray,L,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,4,4,btBoy-Line,btBoy-LineGrayL,,¥720.00,$100.98,
7/30/2025,2,Chupa,Boy-Line,Beige,XL,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,5,5,btBoy-Line,btBoy-LineBeigeXL,,¥900.00,$126.23,
7/30/2025,2,Chupa,Boy-Line,Beige,L,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,5,5,btBoy-Line,btBoy-LineBeigeL,,¥900.00,$126.23,
7/30/2025,2,Chupa,LhasaDhi,Green,XL,BhodLa,Metok Utsang Chupa,¥150.00,$21.04,TRUE,3,3,blLhasaDhi,blLhasaDhiGreenXL,,¥450.00,$63.11,
7/30/2025,2,Chupa,LhasaDhi,Green,L,BhodLa,Metok Utsang Chupa,¥150.00,$21.04,TRUE,3,3,blLhasaDhi,blLhasaDhiGreenL,,¥450.00,$63.11,
7/30/2025,2,Chupa,LhasaDhi,Blue,XL,BhodLa,Metok Utsang Chupa,¥170.00,$23.84,TRUE,8,8,blLhasaDhi,blLhasaDhiBlueXL,,"¥1,360.00",$190.74,1 extra
7/30/2025,2,Chupa,LhasaDhi,Blue,L,BhodLa,Metok Utsang Chupa,¥170.00,$23.84,TRUE,4,4,blLhasaDhi,blLhasaDhiBlueL,,¥680.00,$95.37,
7/30/2025,2,Chupa,LhasaSweet,Pink,XL,BhodLa,Sweetheart Utsang Chupa,¥150.00,$21.04,TRUE,3,3,blLhasaSweet,blLhasaSweetPinkXL,,¥450.00,$63.11,
7/30/2025,2,Chupa,LhasaSweet,Pink,L,BhodLa,Sweetheart Utsang Chupa,¥150.00,$21.04,TRUE,3,3,blLhasaSweet,blLhasaSweetPinkL,,¥450.00,$63.11,
7/30/2025,2,Wonju,DhiMen,Black,XXL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenBlackXXL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Black,XL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenBlackXL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Black,L,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,3,3,jmDhiMen,jmDhiMenBlackL,,¥159.00,$22.30,
7/30/2025,2,Wonju,DhiMen,Burgundy,XXL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenBurgundyXXL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Burgundy,XL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenBurgundyXL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Burgundy,L,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,3,3,jmDhiMen,jmDhiMenBurgundyL,,¥159.00,$22.30,
7/30/2025,2,Wonju,DhiMen,White,XXL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,4,4,jmDhiMen,jmDhiMenWhiteXXL,,¥212.00,$29.73,
7/30/2025,2,Wonju,DhiMen,White,XL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,6,6,jmDhiMen,jmDhiMenWhiteXL,,¥318.00,$44.60,
7/30/2025,2,Wonju,DhiMen,White,L,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,3,3,jmDhiMen,jmDhiMenWhiteL,,¥159.00,$22.30,
7/30/2025,2,Wonju,DhiMen,Mustard,L,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenMustardL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Orange,XXL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,5,5,jmDhiMen,jmDhiMenOrangeXXL,,¥265.00,$37.17,
7/30/2025,2,Wonju,DhiMen,Orange,XL,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,3,3,jmDhiMen,jmDhiMenOrangeXL,,¥159.00,$22.30,
7/30/2025,2,Wonju,DhiMen,Orange,L,Jama,Serdok Wonju,¥53.00,$7.43,TRUE,2,2,jmDhiMen,jmDhiMenOrangeL,,¥106.00,$14.87,
7/30/2025,2,Wonju,PlainMen,Mustard,XXL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,3,3,losPlainMen,losPlainMenMustardXXL,,¥135.00,$18.93,
7/30/2025,2,Wonju,PlainMen,Burgundy,XXL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,1,1,losPlainMen,losPlainMenBurgundyXXL,,¥45.00,$6.31,
7/30/2025,2,Wonju,PlainMen,Mustard,XL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,3,3,losPlainMen,losPlainMenMustardXL,,¥135.00,$18.93,
7/30/2025,2,Wonju,PlainMen,Burgundy,XL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,1,1,losPlainMen,losPlainMenBurgundyXL,,¥45.00,$6.31,
7/30/2025,2,Wonju,PlainMen,White,XL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,4,4,losPlainMen,losPlainMenWhiteXL,,¥180.00,$25.25,
7/30/2025,2,Wonju,PlainMen,Orange,XL,Losan,Plain Men's Wonju,¥45.00,$6.31,TRUE,4,4,losPlainMen,losPlainMenOrangeXL,,¥180.00,$25.25,
7/30/2025,2,Wonju,VestShirtMen,Mustard,XL,Losan,Phosar Vest,¥50.00,$7.01,TRUE,2,2,losVestShirtMen,losVestShirtMenMustardXL,,¥100.00,$14.03,
7/30/2025,2,Wonju,VestShirtMen,Wine Red,XL,Losan,Phosar Vest,¥50.00,$7.01,TRUE,2,2,losVestShirtMen,losVestShirtMenWine RedXL,,¥100.00,$14.03,
7/30/2025,2,Wonju,VestShirtMen,Mustard,XXL,Losan,Phosar Vest,¥50.00,$7.01,TRUE,3,3,losVestShirtMen,losVestShirtMenMustardXXL,,¥150.00,$21.04,
7/30/2025,2,Wonju,VestShirtMen,Wine Red,XXL,Losan,Phosar Vest,¥50.00,$7.01,TRUE,3,3,losVestShirtMen,losVestShirtMenWine RedXXL,,¥150.00,$21.04,
7/31/2025,2,Chupa,Boy-Line,Black,L,Bhod Thakchen,Thakshar Chupa,¥180.00,$25.25,TRUE,6,6,btBoy-Line,btBoy-LineBlackL,,"¥1,080.00",$151.47,
8/7/2025,2,Chupa,GirlFold,BlueBlack,XL,Phama Tsering Logya,Graceful Chupa,¥190.00,$26.65,TRUE,1,1,ptlGirlFold,ptlGirlFoldBlueBlackXL,,¥190.00,$26.65,
8/7/2025,2,Chupa,GirlFold,GoldWhite,XL,Phama Tsering Logya,Graceful Chupa,¥190.00,$26.65,TRUE,1,1,ptlGirlFold,ptlGirlFoldGoldWhiteXL,,¥190.00,$26.65,
8/7/2025,2,Chupa,MenFold,GoldWhite,XL,Phama Tsering Logya,Graceful Chupa,¥190.00,$26.65,TRUE,1,1,ptlMenFold,ptlMenFoldGoldWhiteXL,,¥190.00,$26.65,
8/7/2025,2,Chupa,MenFold,BlueBlack,XL,Phama Tsering Logya,Graceful Chupa,¥190.00,$26.65,TRUE,1,1,ptlMenFold,ptlMenFoldBlueBlackXL,,¥190.00,$26.65,
8/7/2025,2,Jewelry,Ghawu,BlueGirl,N/A,Gyencha,Small Ghawu,¥10.00,$1.40,TRUE,3,3,gcGhawu,gcGhawuBlueGirl,,¥30.00,$4.21,
8/7/2025,2,Jewelry,Ghawu,RedGirl,N/A,Gyencha,Small Ghawu,¥10.00,$1.40,TRUE,3,3,gcGhawu,gcGhawuRedGirl,,¥30.00,$4.21,
8/7/2025,2,Jewelry,Ghawu,GoldGuy,N/A,Gyencha,Small Ghawu,¥10.00,$1.40,TRUE,2,2,gcGhawu,gcGhawuGoldGuy,,¥20.00,$2.81,
8/7/2025,2,Jewelry,Ghawu,SilvGuy,N/A,Gyencha,Small Ghawu,¥10.00,$1.40,TRUE,1,1,gcGhawu,gcGhawuSilvGuy,,¥10.00,$1.40,
8/7/2025,2,Jewelry,Lulong,SWhite,N/A,Gyencha,Small Lulong Pair,¥56.00,$7.85,TRUE,5,5,gcLulong,gcLulongSWhite,,¥280.00,$39.27,"*Quanitity pertains to pairs, reciept to individual"
8/7/2025,2,Jewelry,Lulong,MDark,N/A,Gyencha,Medium Lulong Pair,¥50.00,$7.01,TRUE,2,2,gcLulong,gcLulongMDark,,¥100.00,$14.03,"*Quanitity pertains to pairs, reciept to individual"
8/7/2025,2,Jewelry,Necklace,CoralGold,N/A,Men You Ping,Coral Necklace,¥75.00,$10.52,TRUE,4,4,mypNecklace,mypNecklaceCoralGold,,¥300.00,$42.08,
8/7/2025,2,Jewelry,Necklace,Coral,N/A,Men You Ping,Coral Necklace,¥75.00,$10.52,TRUE,3,3,mypNecklace,mypNecklaceCoral,,¥225.00,$31.56,
8/7/2025,2,Jewelry,String,Braided,N/A,Gyencha,,¥2.00,$0.28,TRUE,10,10,gcString,gcStringBraided,,¥20.00,$2.81,
