SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
gcSPinkap,gcSPinkapSmall,Small,N/A,0,,Gyencha,Jewelry,¥7.00,$0.97,$5.00,$4.03,514.32%,,,
gcBPinkap,gcBPinkapBig,Big,N/A,0,,Gyencha,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
gcCoralStack,gcCoralStackBlack,Black,N/A,0,,Gyencha,Jewelry,¥28.00,$3.89,$15.00,$11.11,385.74%,,,
gcCoralStack,gcCoralStackWhite,White,N/A,0,,Gyencha,Jewelry,¥28.00,$3.89,$15.00,$11.11,385.74%,,,
gcSweetSilv,gcSweetSilvCoral,Coral,N/A,0,དགའ་ཆུང་རྣ་ལོང། བྱུ་རུ།,Gyencha,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
gcSweetSilv,gcSweetSilvTurqouise,Turqouise,N/A,0,དགའ་ཆུང་རྣ་ལོང། བྱུ་རུ།,Gyencha,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
gcstackEarring,gcstackEarringRed3Stack,Red3Stack,N/A,0,,Gyencha,Jewelry,¥15.00,$2.08,$10.00,$7.92,480.03%,,,
gcstackEarring,gcstackEarringBlue3Stack,Blue3Stack,N/A,0,,Gyencha,Jewelry,¥15.00,$2.08,$10.00,$7.92,480.03%,,,
gcroundEarring,gcroundEarringGolden Coral,Golden Coral,N/A,0,,Gyencha,Jewelry,¥7.00,$0.97,$8.00,$7.03,822.91%,,,
gcBCharma,gcBCharmaBigSilver,BigSilver,N/A,0,,Gyencha,Jewelry,¥90.00,$12.50,$35.00,$22.50,280.02%,,,
gcSCharma,gcSCharmaSmallGold,SmallGold,N/A,0,,Gyencha,Jewelry,¥85.00,$11.80,$30.00,$18.20,254.13%,,,
btBoy-Line,btBoy-LineBlack,Black,,0,Thakshar Chupa,Bhod Thakchen,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
btBoy-Line,btBoy-LineBrown,Brown,,0,Thakshar Chupa,Bhod Thakchen,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
