ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
10/30/2025,4,Wonju,BrocadeSweatie,Black,XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,4,,gpBrocadeSweatie,gpBrocadeSweatieBlackXL,,¥596.00,$84.78,
10/30/2025,4,Wonju,BrocadeSweatie,Black,XXL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,2,,gpBrocadeSweatie,gpBrocadeSweatieBlackXXL,,¥298.00,$42.39,
10/30/2025,4,Wonju,BrocadeSweatie,Black,3XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,2,,gpBrocadeSweatie,gpBrocadeSweatieBlack3XL,,¥298.00,$42.39,
10/30/2025,4,Wonju,BrocadeSweatie,Gray,M,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieGrayM,,¥447.00,$63.58,
10/30/2025,4,Wonju,BrocadeSweatie,Gray,L,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,6,,gpBrocadeSweatie,gpBrocadeSweatieGrayL,,¥894.00,$127.17,
10/30/2025,4,Wonju,BrocadeSweatie,Gray,XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,4,,gpBrocadeSweatie,gpBrocadeSweatieGrayXL,,¥596.00,$84.78,
10/30/2025,4,Wonju,BrocadeSweatie,Gray,XXL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieGrayXXL,,¥447.00,$63.58,
10/30/2025,4,Wonju,BrocadeSweatie,Gray,3XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,1,,gpBrocadeSweatie,gpBrocadeSweatieGray3XL,,¥149.00,$21.19,
10/30/2025,4,Wonju,PlainWonju,White,XL,TaoBao,Plain Wonju,¥58.00,$8.25,FALSE,2,,tbPlainWonju,tbPlainWonjuWhiteXL,,¥116.00,$16.50,
10/30/2025,4,Wonju,PlainWonju,White,L,TaoBao,Plain Wonju,¥58.00,$8.25,FALSE,3,,tbPlainWonju,tbPlainWonjuWhiteL,,¥174.00,$24.75,
