SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
gcstackEarring,gcstackEarringRed3Stack,Red3Stack,N/A,0,,Gyencha,Jewelry,¥15.00,$2.08,$10.00,$7.92,480.03%,,,
,gcstackEarringBlue3Stack,Blue3Stack,N/A,0,,,Jewelry,¥15.00,$2.08,$10.00,$7.92,480.03%,,,
gcroundEarring,gcroundEarringGolden Coral,Golden Coral,N/A,0,,Gyencha,Jewelry,¥7.00,$0.97,$8.00,$7.03,822.91%,,,
gcBCharma,gcBCharmaBigSilver,BigSilver,N/A,0,,Gyencha,Jewelry,¥90.00,$12.50,$35.00,$22.50,280.02%,,,
gcSCharma,gcSCharmaSmallGold,SmallGold,N/A,0,,Gyencha,Jewelry,¥85.00,$11.80,$30.00,$18.20,254.13%,,,
btBoy-Line,btBoy-LineBlack,Black,,0,Thakshar Chupa,Bhod Thakchen,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
,btBoy-LineBrown,Brown,,0,Thakshar Chupa,,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
,btBoy-LineGray,Gray,,0,Thakshar Chupa,,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
,btBoy-LineBeige,Beige,,0,Thakshar Chupa,,Chupa,¥180.00,$25.00,$72.00,$47.00,288.02%,,,
blLhasaDhi,blLhasaDhiBlack,Black,,0,Metok Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
,blLhasaDhiGreen,Green,,0,Metok Utsang Chupa,,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
,blLhasaDhiBlue,Blue,,0,Metok Utsang Chupa,,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaSweet,blLhasaSweetPink,Pink,,0,Sweetheart Utsang Chupa,BhodLa,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
,blLhasaSweetGreen,Green,,0,Sweetheart Utsang Chupa,,Chupa,¥150.00,$20.83,$65.00,$44.17,312.02%,,,
blLhasaGuchen,blLhasaGuchenBlackXL,Black,XL,0,Guchen Utsang Chupa,BhodLa,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenBlackL,Black,L,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenOrangeXL,Orange,XL,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenOrangeL,Orange,L,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenPurpleXL,Purple,XL,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenPurpleL,Purple,L,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenBurgundyXL,Burgundy,XL,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenBurgundyL,Burgundy,L,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenGreen,Green,,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
,blLhasaGuchenBlue,Blue,,0,Guchen Utsang Chupa,,Chupa,¥210.00,$29.16,$70.00,$40.84,240.01%,,,
gcKnife,gcKnifeGirl,Girl,N/A,0,Girl's Decor Dagger,Gyencha,Jewelry,¥30.00,$4.17,$20.00,$15.83,480.03%,,,
losVestShirtMen,losVestShirtMenBlackXL,Black,XL,0,Phosar Wonju,Losan,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenRedXL,Red,XL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenMustardXL,Mustard,XL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenWine RedXL,Wine Red,XL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenBlackXXL,Black,XXL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenRedXXL,Red,XXL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenMustardXXL,Mustard,XXL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,losVestShirtMenWine RedXXL,Wine Red,XXL,0,Phosar Wonju,,Wonju,¥50.00,$6.94,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
,,,,0,,,,,,,,,,,
