SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
gcsmallPachap,gcsmallPachapChain,Chain,N/A,7,Gachung Pachap,Gyencha,Jewelry,¥40.00,$5.61,$25.00,$19.39,445.63%,,,
gcOrnament,gcOrnamentDropchain,Dropchain,N/A,7,Kapshop Ornament,Gyencha,Jewelry,¥26.00,$3.65,$20.00,$16.35,548.46%,,,* quantity ppertains to pairs now
gcGyenrak,gcGyenrakAllRound,AllRound,N/A,6,All-Round Kapshop,Gyencha,Jewelry,¥35.00,$4.91,$20.00,$15.09,407.43%,,,
gcLapChain3,#REF!,#REF!,#REF!,0,3 Chain Lap Rack,#REF!,Jewelry,¥45.00,$6.31,$30.00,$23.69,475.33%,,,
,,,,0,,,Jewelry,¥45.00,$6.26,$30.00,$23.74,478.88%,,,
mypFancyBrooch,mypFancyBroochCoral,Coral,N/A,0,Fancy Coral Brooch,Men You Ping,Jewelry,¥20.00,$2.81,,,,,,
gcBMecha,,Man / Man,N/A / N/A,-18,Phosar Mecha,#N/A,Jewelry,¥120.00,$16.83,,,,,,
gcCoralStack,,Black / White,N/A / N/A,-18,Stack Coral Earring,#N/A,Jewelry,¥28.00,$3.93,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
